Rank,Nome do Filme,Data de Lançamento,País de Origem,Link
147,Ran,,,https://www.imdb.com/pt/title/tt0089881/
148,Cassino,,,https://www.imdb.com/pt/title/tt0112641/
149,Onde os Fracos Não Têm Vez,,,https://www.imdb.com/pt/title/tt0477348/
150,O Enigma de Outro Mundo,3 de fevereiro de 1983 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0084787/
151,Os Suspeitos,,,https://www.imdb.com/pt/title/tt1392214/
152,Top Gun: Maverick,,,https://www.imdb.com/pt/title/tt1745960/
153,Kill Bill: Volume 1,23 de abril de 2004 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0266697/
154,O Labirinto do Fauno,,,https://www.imdb.com/pt/title/tt0457430/
155,Os Imperdoáveis,,,https://www.imdb.com/pt/title/tt0105695/
156,Uma Mente Brilhante,,,https://www.imdb.com/pt/title/tt0268978/
157,O Castelo Animado,5 de agosto de 2005 (Brasil),"Japão, Estados Unidos da América",https://www.imdb.com/pt/title/tt0347149/
158,O Tesouro da Sierra Madre,24 de janeiro de 1948 (Estados Unidos da América),Estados Unidos da América,https://www.imdb.com/pt/title/tt0040897/
159,Procurando Nemo,4 de julho de 2003 (Brasil),"Estados Unidos da América, Japão, Austrália, Cazaquistão, Armênia",https://www.imdb.com/pt/title/tt0266543/
160,Klaus,4 de julho de 2003 (Brasil),"Estados Unidos da América, Japão, Austrália, Cazaquistão, Armênia",https://www.imdb.com/pt/title/tt4729430/
161,"Yojimbo, o Guarda-Costas",9 de maio de 1963 (Brasil),Japão,https://www.imdb.com/pt/title/tt0055630/
162,O Homem Elefante,20 de julho de 1981 (Brasil),"Estados Unidos da América, Reino Unido",https://www.imdb.com/pt/title/tt0080678/
163,Fugindo do Inferno,8 de junho de 1964 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0057115/
164,Monty Python em Busca do Cálice Sagrado,27 de junho de 1975 (Irlanda),Reino Unido,https://www.imdb.com/pt/title/tt0071853/
165,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,11 de setembro de 2025 (Brasil),"Japão, Estados Unidos da América",https://www.imdb.com/pt/title/tt32820897/
